Zeit;Kanal A
(ms);(mV)

-23,82833241;2,79127700
-23,82333241;2,79127700
-23,81833242;3,72170300
-23,81333242;3,25725900
-23,80833242;4,65366600
-23,80333242;5,11811000
-23,79833242;5,58409200
-23,79333242;5,11811000
-23,78833242;4,18768400
-23,78333242;4,65366600
-23,77833242;5,11811000
-23,77333242;3,72170300
-23,76833242;4,65366600
-23,76333242;3,25725900
-23,75833242;3,25725900
-23,75333242;3,25725900
-23,74833242;2,79127700
-23,74333242;2,79127700
-23,73833242;2,79127700
-23,73333242;1,86085100
-23,72833242;1,86085100
-23,72333242;1,39486900
-23,71833242;1,86085100
-23,71333242;0,46444390
-23,70833242;1,39486900
-23,70333242;0,00000000
-23,69833242;0,00000000
-23,69333242;0,00000000
-23,68833242;0,46444390
-23,68333242;0,00000000
-23,67833242;0,46444390
-23,67333242;-0,46444390
-23,66833242;-0,46444390
-23,66333242;0,46444390
-23,65833242;0,00000000
-23,65333242;0,00000000
-23,64833242;1,39486900
-23,64333242;0,46444390
-23,63833242;-0,46444390
-23,63333242;-0,46444390
-23,62833242;-0,46444390
-23,62333242;-0,46444390
-23,61833242;-0,93042560
-23,61333242;-0,93042560
-23,60833242;-1,39486900
-23,60333242;-2,32683300
-23,59833242;-1,86085100
-23,59333242;-2,32683300
-23,58833242;-2,32683300
-23,58333242;-2,79127700
-23,57833242;-3,25725900
-23,57333242;-3,72170300
-23,56833242;-3,25725900
-23,56333242;-4,18768400
-23,55833242;-4,18768400
-23,55333242;-4,65366600
-23,54833242;-3,72170300
-23,54333242;-4,18768400
-23,53833242;-4,65366600
-23,53333242;-4,65366600
-23,52833242;-4,65366600
-23,52333242;-5,11811000
-23,51833242;-3,72170300
-23,51333242;-4,18768400
-23,50833242;-4,18768400
-23,50333242;-3,25725900
-23,49833242;-3,25725900
-23,49333242;-3,25725900
-23,48833242;-3,72170300
-23,48333242;-2,32683300
-23,47833242;-1,39486900
-23,47333242;-1,39486900
-23,46833242;-1,39486900
-23,46333242;0,00000000
-23,45833242;0,46444390
-23,45333242;1,39486900
-23,44833242;1,39486900
-23,44333242;1,86085100
-23,43833242;2,32683300
-23,43333242;2,32683300
-23,42833242;2,32683300
-23,42333243;2,32683300
-23,41833243;3,25725900
-23,41333243;4,18768400
-23,40833243;3,72170300
-23,40333243;3,72170300
-23,39833243;4,65366600
-23,39333243;4,18768400
-23,38833243;4,18768400
-23,38333243;3,72170300
-23,37833243;4,65366600
-23,37333243;3,72170300
-23,36833243;3,72170300
-23,36333243;3,25725900
-23,35833243;3,25725900
-23,35333243;3,25725900
-23,34833243;2,79127700
-23,34333243;2,79127700
-23,33833243;2,79127700
