Zeit;Kanal A
(ms);(mV)

-25,00966572;1,11651100
-25,00466572;1,30290300
-24,99966572;0,55794780
-24,99466572;0,74434050
-24,98966572;2,04724400
-24,98466572;1,11651100
-24,97966572;0,55794780
-24,97466572;0,93073320
-24,96966572;0,55794780
-24,96466572;0,93073320
-24,95966572;0,37217020
-24,95466572;0,55794780
-24,94966572;-0,37217020
-24,94466572;1,48868100
-24,93966572;0,18577760
-24,93466572;0,93073320
-24,92966572;0,18577760
-24,92466572;0,74434050
-24,91966572;0,18577760
-24,91466572;0,18577760
-24,90966572;0,37217020
-24,90466572;1,48868100
-24,89966572;0,18577760
-24,89466572;0,55794780
-24,88966572;0,18577760
-24,88466572;0,18577760
-24,87966572;0,00000000
-24,87466572;0,18577760
-24,86966572;0,93073320
-24,86466572;0,00000000
-24,85966572;0,18577760
-24,85466572;0,00000000
-24,84966572;0,93073320
-24,84466572;0,37217020
-24,83966572;0,00000000
-24,83466572;0,00000000
-24,82966572;0,18577760
-24,82466572;0,93073320
-24,81966572;-0,18577760
-24,81466572;1,11651100
-24,80966572;-0,55794780
-24,80466572;0,55794780
-24,79966572;0,00000000
-24,79466572;0,55794780
-24,78966572;0,18577760
-24,78466572;0,37217020
-24,77966572;1,48868100
-24,77466572;0,55794780
-24,76966572;0,55794780
-24,76466572;1,11651100
-24,75966572;1,11651100
-24,75466572;0,37217020
-24,74966572;0,00000000
-24,74466573;1,11651100
-24,73966573;0,55794780
-24,73466573;-0,37217020
-24,72966573;0,55794780
-24,72466573;0,37217020
-24,71966573;1,11651100
-24,71466573;0,18577760
-24,70966573;0,18577760
-24,70466573;0,18577760
-24,69966573;0,37217020
-24,69466573;-0,55794780
-24,68966573;0,37217020
-24,68466573;0,18577760
-24,67966573;0,74434050
-24,67466573;1,30290300
-24,66966573;0,93073320
-24,66466573;0,55794780
-24,65966573;0,00000000
-24,65466573;0,55794780
-24,64966573;-0,37217020
-24,64466573;0,74434050
-24,63966573;0,00000000
-24,63466573;0,18577760
-24,62966573;0,55794780
